step,loss
1,1.0923455953598022
50,0.042329125106334686
100,0.028403721749782562
150,0.02869238518178463
200,0.02294921875
250,0.019884146749973297
300,0.01960817538201809
350,0.0194832906126976
400,0.022954877465963364
450,0.012908137403428555
500,0.017850318923592567
550,0.017918620258569717
600,0.019407352432608604
650,0.019653700292110443
700,0.012435111217200756
750,0.0129723334684968
800,0.017399709671735764
850,0.01859855279326439
900,0.010968927294015884
950,0.01368434727191925
1000,0.01217847503721714
1050,0.01489469688385725
1100,0.011861381120979786
1150,0.00865559745579958
1200,0.011788798496127129
