step,loss
1,1.1815848350524902
50,0.0536150299012661
100,0.042495839297771454
150,0.04654785618185997
200,0.030439427122473717
250,0.031958021223545074
300,0.022515323013067245
350,0.02545231208205223
400,0.021498331800103188
450,0.022735103964805603
500,0.020262189209461212
550,0.014227340929210186
600,0.015102856792509556
650,0.017512734979391098
700,0.018988603726029396
750,0.01852831244468689
800,0.016032958403229713
850,0.017802637070417404
900,0.017009377479553223
950,0.014405855908989906
1000,0.013873448595404625
1050,0.015553310513496399
1100,0.014756090939044952
1150,0.01421121321618557
1200,0.01486691553145647
