step,loss
1,1.149033546447754
50,0.10857599973678589
100,0.08271760493516922
150,0.058765459805727005
200,0.042935002595186234
250,0.0415615513920784
300,0.031830642372369766
350,0.02665984071791172
400,0.02838277257978916
450,0.030704770237207413
500,0.027181416749954224
550,0.021718259900808334
600,0.029322663322091103
650,0.02310790866613388
700,0.020491648465394974
750,0.022893283516168594
800,0.021152706816792488
850,0.01973404921591282
900,0.01921265758574009
950,0.019408971071243286
1000,0.02349718287587166
1050,0.025742435827851295
1100,0.017789077013731003
1150,0.019363204017281532
1200,0.019689446315169334
