step,loss
1,1.0923455953598022
50,0.042329177260398865
100,0.02840370498597622
150,0.028692366555333138
200,0.02294923923909664
250,0.01988411508500576
300,0.019608044996857643
350,0.019483288750052452
400,0.022954847663640976
450,0.012908117845654488
500,0.017850320786237717
550,0.017918633297085762
600,0.0194073636084795
650,0.019653894007205963
700,0.012435095384716988
750,0.012972349300980568
800,0.017399834468960762
850,0.018598150461912155
900,0.010968592949211597
950,0.013684074394404888
1000,0.0121785132214427
1050,0.014894560910761356
1100,0.011861327104270458
1150,0.008655653335154057
1200,0.011788656935095787
