step,loss
1,1.149033546447754
50,0.10857613384723663
100,0.08271722495555878
150,0.05879285931587219
200,0.04281776398420334
250,0.04160049557685852
300,0.03165001794695854
350,0.02665151096880436
400,0.028913814574480057
450,0.031310465186834335
500,0.02823503687977791
550,0.024771835654973984
600,0.027872314676642418
650,0.024627409875392914
700,0.020708715543150902
750,0.021253835409879684
800,0.02327764593064785
850,0.020266275852918625
900,0.02063986472785473
950,0.0195337925106287
1000,0.02230415865778923
1050,0.02551208809018135
1100,0.017784982919692993
1150,0.019927572458982468
1200,0.018828213214874268
