step,loss
1,1.1959223747253418
50,0.04493517056107521
100,0.03891479969024658
150,0.03679533302783966
200,0.030628738924860954
250,0.03345267102122307
300,0.019542347639799118
350,0.024919919669628143
400,0.027350451797246933
450,0.019536830484867096
500,0.01927819661796093
550,0.016276080161333084
600,0.01682627946138382
650,0.014774615876376629
700,0.016083775088191032
750,0.014773907139897346
800,0.019241904839873314
850,0.017510678619146347
900,0.019854670390486717
950,0.012829610146582127
1000,0.013005397282540798
1050,0.011422178708016872
1100,0.014355933293700218
1150,0.014223228208720684
1200,0.01222161203622818
1250,0.013715292327105999
1300,0.014147642999887466
1350,0.011402459815144539
1400,0.0105446083471179
