step,loss
1,1.1368056535720825
25,0.12429114431142807
50,0.05050727352499962
75,0.05112259089946747
100,0.03376567363739014
125,0.03100951388478279
150,0.03026414103806019
175,0.027956366539001465
200,0.027209345251321793
225,0.028463276103138924
250,0.040370527654886246
275,0.0332861989736557
300,0.020761972293257713
325,0.02681870572268963
350,0.023269228637218475
375,0.023126671090722084
400,0.02322147972881794
425,0.033355746418237686
450,0.018503915518522263
475,0.0279578547924757
500,0.023422671481966972
525,0.02487437054514885
550,0.020136483013629913
575,0.017740029841661453
600,0.01739521324634552
625,0.0270763598382473
650,0.02234235405921936
675,0.022350532934069633
700,0.022304009646177292
725,0.01952877640724182
750,0.023720722645521164
775,0.023916810750961304
800,0.0201663039624691
